frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
1	0.6617267598875896	0.29111959065180554	-0.6783820854704495	2.1	2.1
1	0.694277463803186	0.2907216800165838	-0.6838443958639145	2.1	2.1
1	0.7268281677187823	0.2903237693813621	-0.6893067062573797	2.1	2.1
1	0.39506752588510125	0.30583726398566013	-0.627646426887475	2.1	2.1
1	0.4151110244452624	0.3285081298546	-0.619034386410432	2.1	2.1
1	0.43515452300542345	0.35117899572353983	-0.610422345933389	2.1	2.1
1	0.4551980215655846	0.3738498615924796	-0.601810305456346	2.1	2.1
1	0.4752415201257457	0.3965207274614195	-0.593198264979303	2.1	2.1
1	0.4952850186859068	0.4191915933303593	-0.5845862245022599	2.1	2.1
1	0.5153285172460679	0.4418624591992992	-0.5759741840252169	2.1	2.1
1	0.535372015806229	0.46453332506823897	-0.5673621435481739	2.1	2.1
1	0.5554155143663901	0.4872041909371788	-0.5587501030711309	2.1	2.1
1	0.5754590129265512	0.5098750568061187	-0.5501380625940879	2.1	2.1
1	0.5955025114867123	0.5325459226750585	-0.5415260221170448	2.1	2.1
1	0.38331143481184593	0.30956448736328046	-0.6365656211642251	2.1	2.1
